Name,Time,Comment
Jasmine,5 months ago,great video! and that music change at 4:33 got me shook lol
,,
Gabb,1 month ago,4:59 a 40-year lease? that's like a millisecond in humanity's time
,,
supersaiyan god,3 days ago,2020 china is the superpower. With even the usa in debt
,,
GOD_X_PHANTOM,2 months ago,"American Government: views video
Also American Government: sad american noises"
,,
Nagato Uzumacki,4 months ago (edited),"They built the best train system in the world in 10 years. 

RTS game in real life.
My favorite game XCOM 2 I highly recommend this game"
,,
Constatine XI Palaeologus,6 months ago,Beware of Greeks (China) bearing gifts!
,,
Christian,3 months ago,4:25 there’s something wrong with syria’s map
,,
Musical Sanctuary,1 year ago (edited),"Although I am an American and love democracy, there is one thing I must admit. The key to China's continued success over the past few decades was its lack of democracy. 

In my opinion, the key problem of democracy is that it forces politicians to focus on short term issues that can be completely solved, or shown to be solving withing a presidential term in order to get reelected or in order for their party to get reelected. Think about it. In US presidential elections, we almost always hear about job growth or fighting terrorism. Why? Because people can see the results of presidential actions on those factors relatively quickly. Your average unemployed voter will be happy if he gets a job within the next four years. However, because of this focus on short term growth, long term issues are largely ignored. 

Take green energy as a perfect example. It is a great idea in the long run; it will provide lots of high paying jobs in the future while simultaneously helping combat climate change. The only expense is the loss of obsolete trades. Even ignoring the fact that the workers in such obsolete industries can be trained, a transition to green energy would be a large boon overall for America. But people didn't vote for Clinton who said that she would take away coal jobs and support green energy. She was attacked viciously by Trump for this and Trump got support from coal country by vowing to protect coal jobs. 

American manufacturing is another great example. Trump got the support from the Rust Belt by vowing to protect American manufacturing and he was able to win that region and win the general election due to this key support. But in the long run, allowing for more efficient manufacturing processes such as automation, even at the price of American jobs, will be a boon overall. It would decrease production costs, make American goods far more competitive on international markets, and decrease prices for American consumers. The people would save more money, companies would reap greater profits and America's trade deficit could be drastically mitigated. But since the voters want their jobs now, anyone who voices such plans is sure to lose the support of the Rust Belt.

Contrast this with China. The communist party has utter control and as a result, they can focus on long term growth and change without worrying about how the citizens would react. They will invest in Africa to get a foothold on the continent for generations to come. They will go ahead with OBOR in order to establish trade relations with much of Asia and even parts of Europe and exert influence over them. They will put plans into motion that will yield fruit decades later in their quest for global dominance. This is why China is so brutally efficient.

The truth is that a dictatorship that truly works with the goal of promoting the well-being of the country will always be far more efficient than a democracy composed of uneducated masses.
In a democracy, victory goes not to the best candidate, but to he who can best read the electorate and connect with it.

Edit: Some people seem to be confused and I may not have made it clear enough. I do still believe democracy is better at protecting the rights of the people especially since in order to get elected, the candidates have to connect with the people and actively campaign for their votes. Because of this, they are responsive to the voices of the people and their rights are secured. However, what I was trying to argue was that a dictatorship like China's allows for its government to pursue drastic change in order to increase the power of the country as a whole on the international stage."
,,
quickzilver3333,6 months ago,The ART OF WAR!!
,,
Pewdiepie’s Italian Cousin,4 months ago,"The Americas VS China and the 60 countries that signed the BRI.
        WWIII 🤷🏿‍♂️"
,,
10K Subscribers with no profile picture challange,2 weeks ago,meanwhile us spreading freedom and democracy to other countries
,,
Zeis Siez,5 months ago,"I’m from Malaysia. China has traded with Malaysia for 2000 years. In those years, they have been world’s biggest power many times. Never once they sent troops to this region. In 16th, 17th, 18th centuries, the Portuguese, Dutch and British came, we were colonized by each. The presence of China’s power is welcomed in this region. It provides economic benefits. It also enrich cultural experience in the region. We are not afraid of China being powerful in the region, we welcome the rise of China. China don't export ideology, they don't export chaos."
,,
Itzia Ramos,1 year ago,"After six years, I finally dominate english... just to realize I should've learnt chinese instead!"
,,
Radimas Nugroho,3 months ago,"trade war leading to military war.
""Welcome to the third world war""
☠️☠️☠️☠️☠️😷😷😷"
,,
Rabin,1 month ago,"Beware: If you are an American then it's a tough place down there
😑😥"
,,
Dominic Chan,4 months ago,American jingoism at its BEST! 🔥 🔥 🔥
,,
Wilfredo Guzman,4 months ago,Extremely well put together....👉🏼💡🧠 and am sure China 🇨🇳 has been the world power for a minute...it’s us who live inside a bubble.....😎 while the world keeps moving...‼️‼️
,,
Finn Bazz,1 year ago (edited),"Meanwhile the US is building walls and turning schools into bomb shelters because they think that having only two, completely opposing parties running the country is a good idea.

Nice one lads. 👍🏻"
,,
Interior Design,3 days ago,Harvard wants to shift itself from US to china
,,
superduperboyx,1 week ago,Love this video! Very well put together.. i wished this was longer though.
,,
Mark Stren,4 weeks ago,we Peruvians love China for all the infraestructure and connectivity they've given to us
,,
Clark Mckellen,4 days ago,China slowly taking over the world.
,,
xtph,1 year ago,"Ok, time to take those Chinese lessons seriously now"
,,
Sun Shine,4 months ago (edited),"China build the world. US bomb the world.

China: ""I help you and you help me.""

US: ""I dominate you so you cannot say no."""
,,
PRAKASH RAJ,1 week ago,"Happy to share that, I'm doing PhD on this BRI."
,,
SRV. 123,3 weeks ago,You forgot that they have control of a large port in Australia.
,,
QPDS,4 months ago,"""Get over here Mendrake....the Red-Coats are coming."""
,,
Provianto Wibowo,4 months ago,"at least china doesn't bombing any other countries accros the world (inc. china) to force their will in the name of 'freedom' to steal gold, oil and wealth ilegaly like western did in last 500 years

just look at yourself deeply, dude 👌"
,,
Miller Goon,4 months ago,Smart moves 💯
,,
Christos Christodoulidis,1 week ago,The amount of Chinese that have migrated to Greece over the past few years is amazing. In Pireaus harbor now the labels are written in Greek and Chinese while the amount of students that came to schools has been doubled
,,
EmaraldPLAYZ GACHA,2 months ago (edited),But the Malaysia warned the Philippines about this.. I'm half Philippines.. So..this is the Chinese money trap...China is made by the world.. And soon.. The China will own the world now..
,,
lockhrt999,1 year ago (edited),"When US wants to dominate the world, they send army to the country, level the field and thump the chest. 
When China wants to dominate the world, they send engineers and money to the country and says hey, let's build some roads."
,,
StarCraftBoy100,5 months ago,i havent play starcarft in a while but i can tell when someone is stacking units..........and china is stacking alright....
,,
Cromwell Cruz,5 months ago,China is gonna be a scary superpower if and when then next world war comes.
,,
North East Romeo,6 months ago,Asains turn to dominate the world economically and ensure security from Western invasions.
,,
Fab Five,4 days ago,Laughs in capitalism
,,
Skyven Razgriz,1 year ago (edited),"It is called 'Soft Power' and President Trump has said that he doesnt belive in it, so it must be 'Fake News'"
,,
Julio Gag,1 week ago,3:06
,,
Samad Khair,3 weeks ago (edited),"Meanwhile ""Made in China"" is scary"
,,
Blue Nation,3 days ago,AMERICA YOUR TIME HAS COME TO AN END!  HAHAHAHAHAHA
,,
Rick Thomas,2 weeks ago,"Stuck in the cowboy days,  time catch up to the new times make money for everyone"
,,
silvervixen007,1 year ago,Well China ain't sleeping.
,,
Corey Degs,3 months ago,We need a Godzilla on our side..😂
,,
Gakkeb Kallela,5 months ago,厉害了我的国
,,
R6 Siege,1 day ago,China is going to face a huge decrease in population with air pollution being one of the main causes
,,
Unknown Unknown,2 months ago,"Did you know trump has said “China” 124,000 times. Makes you think..."
,,
MSM,8 months ago,China literally building everything in Sri Lanka . Eye Witness
,,
Anonymous Network Guy,4 months ago,In Sri Lanka already main ports and significant places are sold to China! There are many constructions taking place but in non of that they provide employment for Sri Lankans. I guess its time to learn some chinese!
,,
Metin Evren Kurtuluş,1 month ago,"""I have it on very good authority, that within 20 years everyone will be speaking German. Or a Chinese-German hybrid.""
- Dwight Schrute"
,,
Dan Nism,4 months ago,"Time will come China will be on the ""Checkmate"" economy."
,,
농민,1 month ago,"한국어 자막 감사합니다ㅠㅠ  자막 덕분에 이해했어요ㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜIn English,,,,,Thank you for good Korean subtitle! :)"
,,
no name hi,7 months ago (edited),"meanwhile america giving democracy to other countries 


you know what i mean"
,,
Darker than Black,6 months ago,"$62 billion is not FDI in Pakistan , it is sovereign loan with interest rate of 17%"
,,
jurlan gomez,4 months ago,All i see is war war war. I love it
,,
BeelzeBub,4 months ago,Can we just promise each other the best form of life!
,,
Gabb,1 month ago,"USA: For a dollar a day you can help feed a poor African family 
China: hold my beer. Let me know you how real foreign aid is done."
,,
Kevin Zhang,1 year ago,"well, with all due respect,
at least trade and roads are better than bombs."
,,
Adityaanju 03,5 months ago,India :- Laughs Hiddenly 😏
,,
Resham Gurung,3 weeks ago,China the great!🙏🙏🙏
,,
Mr Mackey,2 months ago (edited),You want straight answers? Watch Steve bannon Kyle bass interview. Most eye opening video I've ever seen. Type in China's global strategy. It should come up. It's an hour long but don't cheat yourself. Watch it please
,,
lebronjamesfan,5 months ago (edited),"china is planning on dominating  global trade
this angered america who punished them severely"
,,
David Castnick,1 year ago,"watching the decline of america, what an interesting time to be alive."
,,
Weining Ding,6 months ago,"Wrong map!
Go home ask your mom how to read map ！"
,,
SeaJay Oceans,6 months ago,"Well, the Silk Road worked before ... upgraded, modernized, and lit by solar street lights,  the new highways can repeat that success."
,,
Kartikey Tandon,5 months ago,Hmmm....so we will se a lot of Chinese colonies in the future
,,
John Breuwet,5 months ago,"First with oly weightlifting 🏋️, then trading. 🤦‍♂️"
,,
John Dough,1 year ago,"Yet in the US, we are retracting global trade agreements and tagging on trade tariffs."
,,
Stanley Hudson,4 months ago,"🔴 No adds on this Vox video??
 Strange."
,,
LEGOLLASS Al-JAYASINGA,2 weeks ago,Apalagi amerika sudah Menguasai dunia..
,,
Tristan Anderson,1 month ago,"Now make a Video called ""how  America dominates global trade"""
,,
David Han,4 days ago,China would like to business with any nation.
,,
Money Mark,1 year ago,"2 ways to conquer a nation. 
#1. Sword
#2. Debt"
,,
Michael Richards,3 months ago,Great vid - with nice density of info. thanks
,,
"Caalm, Coolz, Collective",4 months ago,"The map title cover looks a lot like, ""America who?"""
,,
Wonderful World,3 months ago,China has already been working on some projects in Malaysia. We are okay with them because it’s a win-win situation they gave us.
,,
Fresh Fossil,3 months ago,Rotten and corrupted birds flock together~ and they will collapse together~ haha
,,
Poor Little Sheep,1 year ago,"Americans look at China: You're not allowed to vote? That's wrong.
Chinese look at America: Idiots are allowed to vote? That's wrong.
That's how human beings think. We don't accept differences. Everyone has to think like me, or everyone is wrong."
,,
Class Production,3 weeks ago,Love from India ♥️
,,
Marshall Abulkasim,5 months ago,Tajikistan also one of first members of Belt& Road
,,
YM G,2 weeks ago,Licik nya ada
,,
Robert valdez,4 months ago,Feels like a Snippet from COD
,,
CYNtiedan,1 year ago,Well this is much better than starting wars
,,
Benjamin Thompson,4 months ago,thats a lot of ADHD flashing screens guys
,,
Nikita Knyazev,5 months ago,soon china will replace USA as the most powerful country
,,
LANCE H,2 months ago,your videos are soooo good im addicted!
,,
Rodrigo Fernandes,2 months ago,"I would love to learn English, I feel weak and disconnected from the WORLD."
,,
HelolicalShockwave,1 year ago,Some build walls and some build bridges
,,
